name,geometry
"47 08 00 N 007 23 01 E - ARC(47 03 32 N 007 19 41 E, 5.02, cw) - 47 06 41 N 007 25 25 E - 46 58 18 N 007 35 15 E - ARCV(46 55 09 N 007 29 32 E, 46 58 18 N 007 35 15 E, 46 52 00 N 007 23 50 E, cw) - 46 52 00 N 007 23 50 E - 47 00 23 N 007 13 58 E - ARC(47 03 32 N 007 19 41 E, 5.02, cw) - 47 07 28 N 007 15 07 E - 47 08 00 N 007 23 01 E","47 08 00 N 007 23 01 E - ARC(47 03 32 N 007 19 41 E, 5.02, cw) - 47 06 41 N 007 25 25 E - 46 58 18 N 007 35 15 E - ARCV(46 55 09 N 007 29 32 E, 46 58 18 N 007 35 15 E, 46 52 00 N 007 23 50 E, cw) - 46 52 00 N 007 23 50 E - 47 00 23 N 007 13 58 E - ARC(47 03 32 N 007 19 41 E, 5.02, cw) - 47 07 28 N 007 15 07 E - 47 08 00 N 007 23 01 E"
TMA LSGG 2,"46 34 55 N 006 29 57 E - 46 27 18 N 006 37 35 E - BORDER(CH) - 46 26 45 N 006 43 33 E - 46 26 14 N 006 41 53 E - 46 24 54 N 006 39 59 E - 46 18 17 N 006 30 34 E - 46 02 56 N 006 09 33 E - 45 55 41 N 005 54 39 E - ARC(46 03 03 N 005 47 12 E, 9.017, cw) - 46 10 24 N 005 39 42 E - 46 10 59 N 005 40 52 E - 46 07 02 N 005 49 04 E - 46 05 08 N 005 47 03 E - 45 59 58 N 005 48 14 E - 45 58 23 N 005 50 28 E - 46 22 03 N 006 33 04 E - 46 31 42 N 006 23 16 E - 46 34 55 N 006 29 57 E"
